X;Y;objectid;numero_estacion;nombre_estacion;coordenada_x_estacion;coordenada_y_estacion;ubicacion_estacion;zona;troncal_estacion;numero_vagones_estacion;numero_accesos_estacion;biciestacion_estacion;capacidad_biciestacion_estacion;tipo_estacion;biciparqueadero_estacion;latitud_estacion;longitud_estacion;globalid;created_user;created_date;last_edited_user;last_edited_date;codigo_nodo_estacion;componente_wifi;componente_aplificacion;log_replica;id_trazado_troncal
-741.026.111.159.888;46.016.671.664.805;132;10003;Ciudad Jardín - UAN;9.985.762.678;9.983.780.068;Kra 10- CL 12 sur;L;Cr 7-10;2;1;0;0;4;0;458.153.243;-7.409.033.824;{503F366F-6753-4C5A-8410-3F44C414437B};;;TECNICA;2023/08/15 22:43:40+00;7113;Valor SI al campo;;;TZ008
-740.631.525.600.425;468.457.457.896.704;133;10004;Policarpa;9.989.554.783;998.900.443;Kra 10- CL 3 sur;L;Cr 7-10;2;2;0;0;4;0;458.625.694;-7.408.692.095;{E79709CE-7D66-4A70-B85A-7EC71213B208};;;TECNICA;2023/08/15 22:43:40+00;3012;Valor SI al campo;;;TZ003
-741.046.401.515.891;46.256.689.147.459;134;10005;Bicentenario;9.995.197.539;9.997.590.085;Kra 10 -CL 5;L;Cr 7-10;0;2;1;116;2;1;459.402.109;-7.408.183.585;{CF93DDE1-D9C6-40D0-A714-95DF9A0D8418};;;editorTroncal;2023/12/14 20:55:57+00;12000;Valor SI al campo;;;TZ009
-741.143.770.815.714;457.679.575.078.242;135;10006;San Victorino;10.000.112.959;10.005.327.695;Kra 10- CL 12;L;Cr 7-10;3;2;0;0;4;0;460.101.831;-7.407.740.612;{BE492F02-40C8-4F4C-9B28-AC9DB7A0AF7B};;;editorTroncal;2023/12/14 21:46:14+00;9101;Valor SI al campo;;;TZ012
-740.671.414.357.004;469.329.093.725.361;136;10007;Las Nieves;10.003.538.669;10.010.903.752;Kra 10- CL 18;L;Cr 7-10;2;2;0;0;4;0;460.606.079;-7.407.431.885;{0A930F12-505B-4759-9CB4-F4951ED24A08};;;TECNICA;2023/08/15 22:43:40+00;3010;Valor SI al campo;;;TZ003
-740.774.061.180.051;460.101.831.025.173;137;10008;San Diego;10.006.670.148;10.016.252.083;Kra 10- CL 23;L;Cr 7-10;2;2;0;0;4;0;461.089.733;-740.714.967;{EAA9BB41-4ADC-4F1C-90A0-87CEEDB0A7D8};;;editorTroncal;2023/12/14 23:03:03+00;10006;Valor SI al campo;;;TZ018
-74.156.875.173.478;459.625.493.385.417;138;10009;Museo Nacional;10.009.189.183;10.021.062.172;Kra 7- CL 32;M;Cr 7-10;0;1;0;0;4;0;461.524.712;-7.406.922.646;{DBB00BB3-CC9C-4EB6-AE19-445643E4939B};;;editorTroncal;2023/12/15 00:07:17+00;7002;Valor SI al campo;;;TZ010
-742.054.604.568.363;458.598.282.663.535;139;10010;San Bernardo;9.992.441.864;9.993.353.793;Kra 10- CL 1b  sur;L;Cr 7-10;2;2;0;0;4;0;459.019.014;-7.408.431.921;{667031D6-05CD-4877-B67A-A7E84FF54E8F};;;editorTroncal;2023/12/15 00:03:36+00;7503;Valor SI al campo;;;TZ011
-741.474.079.794.275;459.509.630.641.343;140;12000;Puente Aranda;9.969.894.255;10.032.587.268;CL 13 KR 47;F;Americas;2;1;0;0;4;0;462.566.891;-7.410.464.015;{BFD31B27-BC7D-4C11-9E6F-1194F7DB3BDA};;;EESTACION;2023/08/15 22:54:31+00;7003;Valor SI al campo;;;TZ010
-740.647.044.028.963;468.050.120.918.969;141;12001;Carrera 43 - Comapan;9.973.470.895;10.029.420.369;Av. Americas -KR 43;F;Americas;2;2;0;0;4;0;462.280.517;-7.410.141.668;{EDE53DA0-92A0-4022-BB3B-4B923CA3CDDA};;;TECNICA;2023/08/15 22:43:40+00;3013;Valor SI al campo;;;TZ003
-740.698.391.891.041;469.924.028.994.618;142;12002;CDS - Carrera 32;9.981.752.605;10.022.041.604;Av. Americas -KR 32;F;Americas;2;2;0;0;4;0;461.613.269;-7.409.395.282;{F9D7F2ED-8EA0-4C82-A2BC-279533BC3A5E};;;editorTroncal;2023/12/14 21:39:51+00;3009;Valor SI al campo;;;TZ003
-740.843.192.067.536;459.019.014.430.741;143;12003;Ricaurte - CL 13;9.985.605.985;10.018.593.774;CL 13 - KR 28;F;Americas;3;2;0;0;3;0;461.301.485;-7.409.048.002;{3F41BFA1-62D1-4269-8551-3CF9A50DEF5F};;;editorTroncal;2023/12/14 21:56:38+00;10010;Valor SI al campo;;;TZ018
-741.106.425.459.727;45.973.705.235.716;144;12004;San Facon Carrera 22;9.989.786.699;10.015.058.574;Av. Americas -KR 22;F;Americas;2;2;0;0;4;0;460.981.799;-7.408.671.226;{DE976F15-2C50-4396-9775-C881DBD0691E};;;EESTACION;2023/08/15 22:54:31+00;7009;Valor SI al campo;;;TZ010
-740.867.122.575.791;460.981.799.088.002;145;12007;Zona Industrial;9.976.497.889;10.026.674.774;CL 13 KR 38;F;Americas;2;2;0;0;4;0;462.032.239;-7.409.868.859;{C8F73928-2752-48D4-9483-22BB6A632632};;;editorTroncal;2023/12/14 20:58:15+00;12004;Valor SI al campo;;;TZ009
-741.255.732.090.374;456.465.806.494.611;146;14001;De La Sabana;9.995.135.752;10.010.207.305;CL 13 - KR 16;F;Americas;2;2;0;0;4;0;460.543.098;-740.818.916;{21385525-A7DE-4947-84C5-13B47354EA84};;;editorTroncal;2023/12/14 21:46:14+00;9003;Valor SI al campo;;;TZ012
-740.808.536.025.439;473.543.402.324.895;147;14003;AV. Jiménez - CL 13;9.998.223.829;1.000.757.208;CL 13 - caracas;F;Americas;3;2;0;0;3;0;460.304.793;-7.407.910.861;{5979BDED-AFD3-4A92-BD68-71CAFE2E1082};;;TECNICA;2023/08/15 22:43:40+00;3003;Valor SI al campo;;;TZ003
-740.697.535.508.591;462.158.594.027.495;148;14004;Museo del Oro;10.005.115.758;10.005.485.192;KR 2;J;Eje Ambiental;1;2;0;0;4;0;460.116.072;-7.407.289.759;{FA72C80D-3AC6-44AD-8B5C-488452D5287A};;;editorTroncal;2023/12/14 21:47:01+00;9115;Valor SI al campo;;;TZ001
-741.426.496.597.451;459.556.711.085.458;149;14005;Las Aguas - Centro Colombo Americano;10.010.104.823;1.000.705.442;KR 4;J;Eje Ambiental;1;2;0;0;3;0;460.257.975;-7.406.840.143;{1232BDBD-D8A6-4583-8226-9E58769A72DF};;;EESTACION;2023/08/15 22:54:31+00;7004;Valor SI al campo;;;TZ010
