X;Y;objectid;numero_estacion;nombre_estacion;coordenada_x_estacion;coordenada_y_estacion;ubicacion_estacion;zona;troncal_estacion;numero_vagones_estacion;numero_accesos_estacion;biciestacion_estacion;capacidad_biciestacion_estacion;tipo_estacion;biciparqueadero_estacion;latitud_estacion;longitud_estacion;globalid;created_user;created_date;last_edited_user;last_edited_date;codigo_nodo_estacion;componente_wifi;componente_aplificacion;log_replica;id_trazado_troncal
-740.804.280.711.814;460.287.397.308.485;71;7002;CC Paseo Villa del Río - Madelena;991.193.098;10.000.065.174;AutoSur-Kr67;G;NQS;2;1;0;0;4;0;459.625.493;-7.415.687.517;{D830EF50-FC3D-416D-BE9A-9A13550841A3};;;editorTroncal;2023/12/14 21:46:14+00;9110;Valor SI al campo;;;TZ001
-740.998.569.230.108;460.424.590.180.298;72;7003;Sevillana;992.243.603;999.878.285;Sevillana;G;NQS;2;1;0;0;4;0;459.509.631;-7.414.740.798;{E0348EB3-31DB-4725-9BC1-357A206432A4};;;TECNICA;2023/08/15 22:43:40+00;7112;Valor SI al campo;;;TZ008
-740.746.835.431.877;461.169.461.819.913;73;7004;Venecia;9.927.716.106;9.999.302.974;AutoSur-Av 54;G;NQS;2;1;0;0;4;0;459.556.711;-7.414.264.966;{53BBF0CB-532C-4779-ABF6-E217F4222C52};;;editorTroncal;2023/12/14 21:46:14+00;9113;Valor SI al campo;;;TZ001
-741.056.254.417.057;465.708.058.008.513;74;7005;Alquería;9.937.013.005;9.997.855.084;AutoSur  KR 48;G;NQS;2;1;0;0;4;0;459.425.849;-7.413.427.126;{92D04B1E-72B6-4726-A1B3-04C80C9BBC9A};;;editorTroncal;2024/01/11 18:34:29+00;6101;Valor SI al campo;;;TZ016
-741.593.447.977.059;463.789.938.843.966;75;7006;General Santander;9.942.257.629;9.997.092.032;AutoSur-Kr43;G;NQS;4;1;1;48;2;1;459.356.881;-741.295.448;{0E3A8EE4-6B9A-4B1D-B3AC-3B44D3C3B26F};;;editorTroncal;2023/12/14 21:39:51+00;5002;Valor SI al campo;;;TZ009
-740.903.382.444.227;458.153.243.276.756;76;7007;NQS - Calle 38A S;9.948.683.368;9.997.338.476;AutoSur - Kr 39A;G;NQS;2;1;0;0;4;0;459.379.207;-74.123.754;{EEB45730-31AC-45A4-AAFB-6DAF96D99A84};;;editorTroncal;2023/12/14 23:02:03+00;10003;Valor SI al campo;;;TZ018
-740.818.358.527.543;459.402.109.027.225;77;7008;NQS - Calle 30 S;9.955.202.287;999.844.359;AutoSur-Dg 26 Sur;G;NQS;2;1;0;0;4;0;459.479.179;-7.411.787.927;{DF06F5B3-31D2-4524-8506-454D988C4184};;;editorTroncal;2023/12/14 21:55:59+00;10005;Valor SI al campo;;;TZ018
-740.658.221.013.837;464.298.174.336.658;78;7009;SENA;9.963.232.583;10.001.294.773;AutoSur-Cl 17 S;G;NQS;2;1;0;0;4;0;459.737.052;-7.411.064.255;{F5123EEF-4001-43D9-B186-BC550597898E};;;editorTroncal;2023/12/14 21:47:01+00;9119;Valor SI al campo;;;TZ001
-7.413.038.805.048;457.030.190.418.495;79;7010;Bosa;9.884.911.911;10.000.758.352;Autopista Sur - Av Bosa;G;Soacha;2;1;0;0;4;0;459.687.865;-7.418.122.466;{CF4340F1-4877-4FAF-9B42-C7FC10D89F46};;;editorTroncal;2023/12/14 21:46:14+00;8002;Valor SI al campo;;;TZ014
-740.798.661.316.369;463.066.292.029.669;80;7101;La Castellana;10.014.490.234;10.087.822.377;KR 30 Kr 24;E;NQS;4;1;0;0;4;0;467.561.896;-7.406.444.795;{EBEED4AA-E9B3-4611-AC61-439982EF993F};;;editorTroncal;2023/12/14 20:24:06+00;7108;Valor SI al campo;;;TZ008
-740.721.518.900.298;461.664.490.260.165;81;7102;Calle 75 - Zona M;10.006.876.499;10.081.780.879;Kr 30 - Cl 75A;E;NQS;4;1;0;0;4;0;467.015.567;-7.407.131.021;{CFE0AD2E-303F-4C20-AE2F-4B997744E8ED};;;editorTroncal;2023/12/14 21:46:14+00;9114;Valor SI al campo;;;TZ001
-741.342.712.583.796;45.942.584.849.617;82;7103;AV. Chile;10.003.269.067;10.077.562.952;Kr 30 Cl 72;E;NQS;6;2;0;0;4;0;466.634.138;-7.407.456.156;{6774148C-7C04-4CBD-BC27-93AB2F2A058C};;;editorTroncal;2023/12/14 21:11:59+00;7005;Valor SI al campo;;;TZ010
-741.812.246.584.018;459.687.865.317.087;83;7104;7 de Agosto;9.999.828.049;10.067.554.525;Kr 30 CL 63;E;NQS;2;1;0;0;4;0;465.729.068;-7.407.766.289;{35273BDA-D34F-4267-95B9-C49C461D9C53};;;editorTroncal;2023/12/14 20:24:45+00;7507;Valor SI al campo;;;TZ010
-740.841.673.360.414;462.341.043.580.574;84;7105;Movistar Arena;9.999.070.205;10.059.534.981;Kr 30 Cl 57;E;NQS;2;1;0;0;4;0;465.003.852;-7.407.834.591;{C3B3D9F4-C30B-459D-9496-AA9CBFE450E1};;;TECNICA;2023/08/15 22:43:40+00;7109;Valor SI al campo;;;TZ008
-741.457.693.836.851;463.130.063.745.167;85;7106;Campín - UAN;9.998.678.276;1.005.440.124;Kr 30 Cl 53;E;NQS;2;2;0;0;4;0;464.539.603;-7.407.869.913;{ADD8E881-2952-484A-968E-D0E992ECF021};;;editorTroncal;2023/12/14 21:39:51+00;5100;Valor SI al campo;;;TZ009
-740.768.581.722.259;460.786.106.095.154;86;7107;Universidad Nacional;9.997.988.106;10.045.248.136;Kr 30 Cl 45;E;NQS;3;2;0;0;4;0;463.711.879;-7.407.932.113;{3E972438-9DA9-407B-919B-66BEE7D9A7EF};;;editorTroncal;2023/12/14 21:46:14+00;9111;Valor SI al campo;;;TZ001
-740.791.086.066.752;460.304.793.053.919;87;7108;AV. ElDorado;9.997.383.359;10.038.109.144;Kr 30 Av 28;E;NQS;1;1;0;0;4;0;463.066.292;-7.407.986.613;{F4282057-CEBC-431E-9178-602615311D01};;;editorTroncal;2023/12/14 21:47:01+00;14003;Valor SI al campo;;;TZ015
-740.783.459.056.279;465.003.852.326.539;88;7109;CAD;999.261.073;10.030.089.268;Kr 30 Cl 26;E;NQS;2;2;0;0;4;0;462.341.044;-7.408.416.734;{153ADDBA-6C76-4D65-B106-95599D1A0DFF};;;TECNICA;2023/08/15 22:43:40+00;7105;Valor SI al campo;;;TZ008
-74.068.691.056.891;462.689.711.127.706;89;7110;Paloquemao;9.986.644.115;10.022.908.202;Kr 30 Cl 19;E;NQS;2;1;0;0;4;0;461.691.645;-7.408.954.451;{33BFDDC7-492D-41F1-98A8-888D0AAA013D};;;editorTroncal;2023/12/14 21:12:44+00;9116;Valor SI al campo;;;TZ001
-740.612.601.610.916;466.303.046.363.412;90;7111;Ricaurte - NQS;9.981.845.634;10.017.124.604;Kr 30 Cl 10;E;NQS;3;2;1;165;3;1;46.116.862;-7.409.386.888;{5E6C70C2-3B15-47E8-B98E-1605935EB53A};;;editorTroncal;2023/12/14 21:47:01+00;9123;Valor SI al campo;;;TZ001
-740.648.617.313.407;464.840.372.288.738;91;7112;Comuneros;997.520.095;1000889.72;KR 30 -Cl 6A;G;NQS;2;2;0;0;4;0;46.042.459;-7.409.985.692;{536B1ED7-5DA4-498C-9963-6DF31143B7B3};;;editorTroncal;2023/12/14 21:47:01+00;9120;Valor SI al campo;;;TZ001
-740.596.400.231.553;467.231.509.806.277;92;7113;Santa Isabel;9.972.144.724;10.006.045.699;Kr 30 Av 3;G;NQS;2;1;0;0;4;0;460.166.717;-7.410.261.112;{7BA12C0B-3FAD-4085-B1B6-464E608E6DBE};;;editorTroncal;2023/12/14 21:39:51+00;2303;Valor SI al campo;Valor SI al campo;;TZ002
-741.178.792.660.969;459.479.179.421.763;93;7200;Tygua - San José;998.750.933;10.003.961.343;kr 18;E;Calle 6;4;2;0;0;4;0;459.978.261;-7.408.876.449;{CACA1546-48E9-4936-A6F2-55E42FEA37FF};;;EESTACION;2023/08/15 22:54:31+00;7008;Valor SI al campo;;;TZ010
-740.986.314.921.589;457.141.438.704.361;94;7201;Guatoque - Veraguas;9.980.670.914;10.008.822.818;kr 27;E;Calle 6;4;2;0;0;4;0;460.417.878;-7.409.492.737;{AD973BC1-85EB-4438-8F19-F3AE385AB383};;;editorTroncal;2023/12/14 21:53:40+00;10001;Valor SI al campo;;;TZ018
-740.736.406.707.842;467.800.633.873.993;95;7503;San Mateo - CC Unisur;9.858.016.742;9.988.713.923;Autopista Sur - Kr 33;G;Soacha;3;1;1;650;2;1;458.598.283;-7.420.546.046;{B333C4BD-1159-40F9-B25B-029D17773219};;;editorTroncal;2023/12/14 21:39:51+00;4106;Valor SI al campo;;;TZ005
-74.110.506.257.108;470.982.947.984.633;96;7504;Terreros - Hospital Cardio Vascular;986.459.755;9.992.024.228;Autopista Sur - Av Terreros;G;Soacha;3;1;0;0;4;0;45.889.774;-7.419.953.048;{189FB8BE-5612-4CEA-BFB3-A4DAFD45A8FD};;;editorTroncal;2023/12/14 21:39:51+00;4000;PENDIENTE;;;TZ005
-7.410.736.095.035;457.890.853.330.027;97;7505;León XIII;9.871.691.037;9.995.563.635;Autopista Sur - CL 48;G;Soacha;2;1;0;0;4;0;459.217.919;-7.419.313.846;{AEBA47DB-9C7D-4B64-9F4A-86D39A23ED2A};;;editorTroncal;2023/12/14 21:46:14+00;9103;Valor SI al campo;;;TZ012
-741.218.339.451.757;455.705.943.707.859;98;7506;La Despensa;9.877.264.664;9.998.241.207;Autopista Sur - Kr 20A;G;Soacha;2;1;0;0;4;0;459.460.134;-7.418.811.596;{73AE7786-CEBB-45E3-BE44-E44E0555A801};;;editorTroncal;2023/12/14 21:46:14+00;9001;Valor SI al campo;;;TZ012
-740.939.263.692.018;458.628.563.098.092;99;8000;Portal Tunal;9.931.496.917;9.970.556.271;Av. Boyaca - Av Villavicencio;H;Tunal;0;0;0;0;1;0;456.957.146;-7.413.924.019;{99727137-A5A8-4796-BF0E-8229E8049A53};;;editorTroncal;2023/12/14 21:46:14+00;9106;Valor SI al campo;;;TZ012
-740.747.264.577.321;472.733.704.730.468;100;8001;Parque;9.935.737.711;9.969.189.482;CL 55 Sur;H;Tunal;2;1;0;0;4;0;456.833.577;-7.413.541.846;{3B8956D5-F1A1-4F0A-ABB5-5B26E6196B48};;;TECNICA;2023/08/15 22:43:40+00;3004;Valor SI al campo;;;TZ003
-741.186.730.633.572;462.853.237.808.737;101;8002;Biblioteca;9.941.320.024;9.971.363.229;CL 48A Sur;H;Tunal;2;1;0;0;4;0;45.703.019;-7.413.038.805;{3B9CE75E-1813-4DC2-A5A2-ED420A7C1FE8};;;editorTroncal;2023/12/14 21:39:51+00;5105;Valor SI al campo;;;TZ009
-740.743.188.453.787;460.606.079.266.802;102;9000;Portal Usme;9.953.520.772;9.928.692.056;CL 65C Sur;H;Caracas;0;0;0;0;1;0;453.171.458;-7.411.939.098;{51955B01-E96E-4D96-88D4-30D2B409C73B};;;editorTroncal;2023/12/14 23:03:35+00;10007;Valor SI al campo;;;TZ018
-741.171.169.508.407;467.504.412.658.905;103;9001;Molinos;9.950.811.436;995.671.889;KR 9A;H;Caracas;2;2;0;0;2;0;455.705.944;-7.412.183.395;{B6E3A9BB-B0E9-4D54-B82B-8E3ABB63042B};;;editorTroncal;2023/12/14 21:39:51+00;6001;Valor SI al campo;;;TZ016
-74.121.395.448.976;468.160.430.284.573;104;9002;Consuelo;9.948.553.348;9.960.219.462;KR 11A - KR 10C;H;Caracas;2;1;0;0;4;0;456.022.492;-7.412.386.901;{D70CCE5C-62F9-4627-A093-19138C5781F4};;;editorTroncal;2023/12/14 20:49:56+00;6000;Valor SI al campo;;;TZ016
-740.630.213.211.557;465.490.595.741.051;105;9003;Socorro;9.946.662.537;996.512.182;KR 16B - KR 14A;H;Caracas;2;2;0;0;4;0;456.465.807;-7.412.557.321;{13FD02B4-3E3D-4B5D-AFB5-067E6D937BD7};;;editorTroncal;2023/12/21 14:59:13+00;9121;Valor SI al campo;;;TZ001
-740.728.975.941.571;46.011.607.216.041;106;9004;Santa Lucía;9.947.637.255;9.972.094.679;CL 46A Sur - Diagonal 4;H;Caracas;2;2;0;0;4;0;457.096.376;-7.412.469.525;{AAE0C54B-7DF7-498C-94B4-3D38A29B7982};;;editorTroncal;2023/12/14 20:41:07+00;14004;Valor SI al campo;;;TZ015
-741.295.447.993.976;45.935.688.094.538;107;9100;Calle 40 Sur;9.952.743.838;9.977.502.041;CL 38 Sur - CL 40 Su;H;Caracas;3;2;0;0;2;0;457.585.399;-7.412.009.368;{62FF42DB-FD2B-404E-B68D-8420A21F7951};;;EESTACION;2023/08/15 22:54:31+00;7006;Valor SI al campo;;;TZ010
-741.693.979.868.057;459.701.268.579.803;108;9101;Quiroga;9.959.087.432;9.978.543.104;CL 31 Sur - CL 32 Su;H;Caracas;2;1;0;0;4;0;457.679.575;-7.411.437.708;{42FCD157-1F16-4F6B-8774-07E3EDDD3B5F};;;editorTroncal;2023/12/14 21:42:19+00;7000;PENDIENTE;;;TZ010
-740.970.083.933.887;456.571.810.967.296;109;9103;Olaya;9.966.873.113;9.980.879.086;CL 24 Sur - CL 27 Su;H;Caracas;2;1;0;0;4;0;457.890.853;-7.410.736.095;{6411EA21-81F2-4DA5-9188-C8BFB56BA9E5};;;EESTACION;2023/08/15 22:54:31+00;10500;Valor SI al campo;;;TZ018
-740.711.404.665.779;470.653.717.316.555;110;9104;Restrepo;997.346.545;9.984.113.767;CL 19 Sur - Av. 1 de M;H;Caracas;2;2;0;0;4;0;458.183.392;-7.410.142.022;{B1F00793-4215-4A98-9A98-B1AFB8968568};;;editorTroncal;2023/12/14 21:39:51+00;3007;Valor SI al campo;;;TZ003
-741.354.184.565.152;456.833.577.113.367;111;9105;Fucha;9.975.709.003;9.985.363.008;CL 13 Sur - CL 16 Su;H;Caracas;2;1;0;0;4;0;458.296.368;-7.409.939.841;{572A69F2-2C37-4036-9B1A-E076D24E586E};;;editorTroncal;2023/12/14 21:46:14+00;8001;Valor SI al campo;;;TZ014
-740.869.209.536.273;458.625.693.638.222;112;9106;Nariño;9.981.781.194;9.989.036.301;CL 8 Sur - CL 11 Sur;H;Caracas;2;1;0;0;4;0;458.628.563;-7.409.392.637;{6DF3987A-1ADB-446F-9067-84D61FE50A49};;;editorTroncal;2023/12/14 23:02:26+00;10004;Valor SI al campo;;;TZ018
-740.692.264.594.369;461.524.712.039.083;113;9107;Hortúa;9.985.874.635;9.994.072.808;CL 1 Sur - CL 3 Sur;H;Caracas;2;2;0;0;4;0;459.084.028;-7.409.023.752;{8E08FD2C-A5E8-4EE5-81D1-EFA48D7180F6};;;editorTroncal;2023/12/14 21:55:59+00;10009;Valor SI al campo;;;TZ019
-740.862.201.374.238;459.504.554.342.286;114;9108;Hospital;9.990.332.565;9.998.722.984;CL 4 - CL 2;H;Caracas;2;1;0;0;4;0;459.504.554;-7.408.622.014;{ABE53C55-F997-4ABC-AD34-4862B94D9A81};;;editorTroncal;2023/12/14 21:46:14+00;9108;Valor SI al campo;;;TZ012
-741.132.599.179.179;466.902.134.453.803;115;9109;Tercer Milenio;9.992.976.313;10.002.130.552;CL 8 - CL 6;A;Caracas;3;2;0;0;4;0;459.812.707;-7.408.383.764;{B275FCA6-2E77-4A22-9003-1161B048A9D3};;;editorTroncal;2023/12/14 20:49:56+00;6002;Valor SI al campo;;;TZ016
-741.649.711.640.451;459.577.568.831.044;116;9110;AV. Jiménez - Caracas;9.996.759.713;1.000.737.972;CL 13 - CL 11;A;Caracas;4;2;0;0;3;0;460.287.397;-7.408.042.807;{61AAA51C-F036-4D99-B895-E3DCA2F52D47};;;EESTACION;2023/08/15 22:54:31+00;7001;Valor SI al campo;;;TZ010
-740.902.375.162.808;459.084.027.663.984;117;9111;Calle 19;1.000.072.097;10.012.894.507;CL 19 - CL 17;A;Caracas;3;2;0;0;4;0;460.786.106;-7.407.685.817;{B3BAE53E-3586-4D52-95FD-88F5F8375C0E};;;editorTroncal;2023/12/14 21:46:14+00;9107;Valor SI al campo;;;TZ012
-7.411.939.097.825;453.171.457.490.271;118;9113;Calle 22;10.003.133.967;10.017.133.716;CL 24 - CL 22;A;Caracas;3;2;0;0;4;0;461.169.462;-7.407.468.354;{84A849F8-F7AC-4340-94CB-796846021FE9};;;editorTroncal;2023/12/14 21:46:14+00;9000;Valor SI al campo;;;TZ013
-740.845.844.104.445;469.089.971.757.193;119;9114;Calle 26;10.005.943.086;10.022.607.829;Avenida CL 28 - CL 2;A;Caracas;3;2;0;0;4;0;46.166.449;-7.407.215.189;{E2254DE4-9BB4-44F6-96A6-3BD971A8663D};;;TECNICA;2023/08/15 22:43:40+00;4103;Valor SI al campo;;;TZ005
-740.667.693.895.375;463.755.688.214.794;120;9115;Calle 34;10.008.604.241;10.028.071.726;Avenida CL 34 - CL 3;A;Caracas;3;2;0;0;4;0;462.158.594;-7.406.975.355;{F9726C5B-D453-4DAC-ADC3-E196B6A2A772};;;editorTroncal;2023/12/14 21:47:01+00;9118;Valor SI al campo;;;TZ001
